opt_feat_var,recent_best_ext_ret,vpredmean,retmean,retstd,n_updates,opt_approxkl,advmean,tps,rew_mean,opt_aux,opt_ent,vpredstd,opt_clipfrac,advstd,opt_tot,opt_vf,opt_dyn_loss,ev,ups,opt_pg,rank,total_secs,eplen,epcount,eprew_recent,eprew,best_ext_ret,tcount
9.188648,11.0,2.7212152,2.7584777,0.27235585,27,6.8544346e-14,0.03726283,237.41652432075287,4.69868,0.5753354,1.552427,0.22193275,0.0,0.21480627,0.09283526,0.023027936,4.3835516,0.3779568672180176,0.014490754658249077,0.07135975,0,1867.1132307052612,225.0,1920.0,2.0078125,1.97,22.0,432000.0
11.753646,,2.829089,2.8924375,0.30174392,28,7.04842e-14,0.06334847,243.02893575043342,5.1936626,0.46931675,1.4582864,0.2230361,0.0,0.2146254,-0.38810837,0.043574914,6.345557,0.49407607316970825,0.014833309066798915,-0.430225,0,1934.5290713310242,225.0,1920.0,2.0078125,1.97,22.0,432000.0
10.099443,14.0,2.876665,2.9394476,0.30303442,29,7.805974e-14,0.062782444,240.53537623628057,5.4146376,0.5823691,1.5226387,0.2317182,0.0,0.23241794,-0.028752627,0.029786976,5.404063,0.4117588996887207,0.014681114272233921,-0.057016965,0,2002.6437921524048,225.0,2048.0,2.3046875,2.16,22.0,460800.0
11.553018,21.0,3.081538,3.0827913,0.30621123,30,8.152799e-14,0.0012529996,243.9377449663709,5.5686607,0.5168768,1.4781692,0.25565496,0.0,0.22628874,0.12482766,0.02537792,5.483516,0.45388567447662354,0.014888778379295099,0.10092791,0,2069.808469772339,225.0,2176.0,2.1328125,2.23,22.0,489600.0
11.516682,,3.0803463,3.0983744,0.31906968,31,8.4421456e-14,0.018027794,243.0589327503053,5.590795,0.4736968,1.4359337,0.26316294,0.0,0.21819158,-0.024541577,0.02293179,5.9215283,0.5323673486709595,0.014835139938373126,-0.04603743,0,2137.215990304947,225.0,2176.0,2.1328125,2.23,22.0,489600.0
11.660802,13.0,3.0623133,3.0585008,0.31155807,32,8.1880845e-14,-0.003812338,242.4422891353688,5.9138536,0.4780106,1.4463742,0.28451633,0.0,0.22248346,0.1305984,0.024653066,5.8275003,0.4900619387626648,0.014797502998984913,0.10739171,0,2204.7949595451355,225.0,2304.0,2.21875,2.15,22.0,518400.0
13.052202,,3.051328,3.0915003,0.29932514,33,8.754439e-14,0.040172514,241.81630232639188,6.3050194,0.4601,1.4558794,0.24063744,0.0,0.20861466,-0.08341603,0.027141515,6.842021,0.5142606198787689,0.014759295796288567,-0.10910167,0,2272.5488696098328,225.0,2304.0,2.21875,2.15,22.0,518400.0
13.965298,10.0,3.0051548,3.0630653,0.2741032,34,8.850581e-14,0.057910673,241.97510491727124,6.8923674,0.45259213,1.44126,0.23664397,0.0,0.21077883,-0.19319636,0.027157918,7.2534285,0.4086756110191345,0.014768988337235793,-0.21891302,0,2340.258314371109,225.0,2432.0,2.171875,2.12,22.0,547200.0
15.183607,,3.1546195,3.186751,0.2902316,35,9.523556e-14,0.032131486,240.3153101318395,6.9916267,0.3959463,1.3945174,0.24148348,0.0,0.20730734,0.15993796,0.018354755,6.5674076,0.48980051279067993,0.014667682503164033,0.14297771,0,2408.4354104995728,225.0,2432.0,2.171875,2.12,22.0,547200.0
15.106737,13.0,3.1294405,3.1411161,0.28710154,36,1.01803494e-13,0.011675637,241.49608560224272,7.225241,0.42349663,1.4127421,0.26739714,0.0,0.22581917,0.043203752,0.025845448,7.262781,0.38134217262268066,0.01473975131849626,0.018771047,0,2476.279160261154,225.0,2560.0,2.1796875,2.18,22.0,576000.0
15.149073,14.0,3.0791903,3.1002245,0.28099242,37,9.0090045e-14,0.021034066,240.4611649724622,7.53436,0.42236733,1.374979,0.25339517,0.0,0.22071111,0.06353986,0.025034301,7.4301963,0.3830369710922241,0.014676584776151257,0.039880536,0,2544.4149026870728,225.0,2688.0,2.453125,2.5,22.0,604800.0
14.5592165,,3.1196525,3.1507897,0.3118083,38,9.2623066e-14,0.03113733,243.2415827002211,7.3637743,0.43867758,1.4059289,0.2768915,0.0,0.20107266,-0.008864302,0.024003588,7.400134,0.5841556787490845,0.014846288006605292,-0.03146196,0,2611.7718069553375,225.0,2688.0,2.453125,2.5,22.0,604800.0
16.367691,13.0,3.175051,3.1592264,0.28548205,39,9.8966896e-14,-0.015824541,243.00247779900684,7.727277,0.3964575,1.349163,0.2715002,0.0,0.20792833,0.026366476,0.021154251,7.8731804,0.46951913833618164,0.014831694201599539,0.006561389,0,2679.1949877738953,225.0,2816.0,2.1328125,2.13,22.0,633600.0
16.711502,,3.1151009,3.1219864,0.2563467,40,9.8203075e-14,0.0068852697,244.51397910085532,7.6325207,0.3696194,1.3738663,0.22800252,0.0,0.18413226,-0.018231664,0.017024085,7.691819,0.48405390977859497,0.01492394891972994,-0.033881884,0,2746.2013816833496,225.0,2816.0,2.1328125,2.13,22.0,633600.0
18.843737,15.0,3.0497587,3.0863886,0.24469405,41,1.0981594e-13,0.036629803,242.044647348971,8.493154,0.40109748,1.3632896,0.22147074,0.0,0.19407028,-0.112192266,0.022395546,9.089598,0.3709701895713806,0.014773232870420594,-0.13322452,0,2813.891372680664,225.0,2944.0,2.546875,2.57,22.0,662400.0
19.039543,,3.1952827,3.2263012,0.22459926,42,1.0349703e-13,0.031018661,243.85821443164681,8.817563,0.3046373,1.3351974,0.1911853,0.0,0.1771001,0.09530274,0.016413512,8.583068,0.37824249267578125,0.014883924220681568,0.080224425,0,2881.077955007553,225.0,2944.0,2.546875,2.57,22.0,662400.0
18.823105,12.0,3.1608915,3.1765673,0.20781295,43,1.03393395e-13,0.015675904,241.9240110191171,8.927543,0.37939936,1.3283476,0.18453234,0.0,0.17932025,-0.030003726,0.014433342,9.049419,0.2554166316986084,0.014765869813178534,-0.04310872,0,2948.8016998767853,225.0,3072.0,2.125,2.2,22.0,691200.0
21.41175,13.0,3.1516795,3.1799588,0.20310627,44,1.0957279e-13,0.028279314,240.92145844906716,9.628554,0.3053966,1.3078557,0.174221,0.0,0.17625144,-0.03557565,0.015379915,10.021689,0.2469589114189148,0.014704678860416697,-0.049647707,0,3016.8072652816772,225.0,3200.0,2.25,2.09,22.0,720000.0
20.72861,,3.178286,3.213564,0.21910684,45,1.1690497e-13,0.035277806,242.14278978694261,9.500746,0.31116968,1.3276763,0.17801887,0.0,0.17220853,-0.01156508,0.01616466,9.584603,0.38227182626724243,0.014779223009456947,-0.026402064,0,3084.4698209762573,225.0,3200.0,2.25,2.09,22.0,720000.0
20.58151,14.0,3.2419643,3.2385805,0.22926506,46,1.1858934e-13,-0.00338396,239.6728825841699,9.84494,0.36426586,1.3122017,0.21687074,0.0,0.19415691,0.08063776,0.017723553,9.582264,0.28281712532043457,0.014628471837412714,0.06422641,0,3152.8296613693237,225.0,3328.0,2.59375,2.53,22.0,748800.0
22.068844,,3.2525334,3.2641664,0.20362255,47,1.1846864e-13,0.01163262,243.00634382226528,9.875519,0.31781867,1.2954077,0.17055133,0.0,0.16771168,-0.12279533,0.012515364,10.131579,0.3216171860694885,0.014831930164933184,-0.13401529,0,3220.251769542694,225.0,3328.0,2.59375,2.53,22.0,748800.0
22.49102,13.0,3.2072163,3.2026186,0.2040053,48,1.2016404e-13,-0.004597799,242.77925296855628,10.235687,0.32199445,1.2936077,0.18218446,0.0,0.17421915,0.06703522,0.016342886,10.38928,0.2706955075263977,0.014818069639194109,0.05198594,0,3287.7369430065155,225.0,3456.0,2.265625,2.32,22.0,777600.0
23.274927,,3.2402954,3.2491732,0.19026656,49,1.2502277e-13,0.008877522,243.85636950607812,10.466562,0.27293226,1.299098,0.16982202,0.0,0.16278069,0.020965427,0.013505285,10.513865,0.2680510878562927,0.014883811615361214,0.008759242,0,3354.924033641815,225.0,3456.0,2.265625,2.32,22.0,777600.0
22.021727,13.0,3.2107086,3.1981068,0.18834476,50,1.307586e-13,-0.0126021,242.15564429409037,10.32128,0.33314615,1.3135204,0.17740338,0.0,0.1695113,-0.026693575,0.0131828375,10.396628,0.18999016284942627,0.014780007586309226,-0.038562894,0,3422.582997560501,225.0,3584.0,2.4375,2.36,22.0,806400.0
24.341772,13.0,3.199623,3.213438,0.17364162,51,1.1391388e-13,0.01381471,243.16272048758262,11.334814,0.28905678,1.3008149,0.14568658,0.0,0.15589502,-0.04394486,0.012685792,11.3547945,0.19395947456359863,0.014841474639134681,-0.055329837,0,3489.961746931076,225.0,3712.0,2.421875,2.34,22.0,835200.0
23.704662,,3.156059,3.1728487,0.18986286,52,1.2534736e-13,0.01678958,243.76302520504044,10.772947,0.3006375,1.3028531,0.162432,0.0,0.15484907,-0.054107428,0.013629301,10.987671,0.3348231315612793,0.014878114331362331,-0.06643388,0,3557.174565553665,225.0,3712.0,2.421875,2.34,22.0,835200.0
25.202585,12.0,3.164392,3.1722972,0.1800324,53,1.3396298e-13,0.007905377,240.87284577215917,11.504108,0.3195744,1.2552799,0.15970083,0.0,0.15060079,0.10689891,0.012098174,11.541822,0.3002334237098694,0.014701711778085887,0.09605602,0,3625.1938557624817,225.0,3840.0,2.171875,2.19,22.0,864000.0
25.439695,,3.1545358,3.1778913,0.18372197,54,1.2183226e-13,0.02335573,243.29288930933626,11.610773,0.294723,1.2942415,0.15755714,0.0,0.15504125,0.027331097,0.012067531,11.43832,0.28784865140914917,0.014849419513509293,0.016557807,0,3692.5365555286407,225.0,3840.0,2.171875,2.19,22.0,864000.0
26.426987,13.0,3.218178,3.2229686,0.19007455,55,1.3221894e-13,0.0047907624,242.06237109957303,12.117972,0.2875826,1.236716,0.17368081,0.0,0.16925012,-0.0511782,0.013013254,12.457463,0.20711535215377808,0.014774314642307924,-0.06295474,0,3760.221590280533,225.0,3968.0,2.6328125,2.48,22.0,892800.0
25.984085,,3.3314981,3.325516,0.18967834,56,1.2456197e-13,-0.005981972,240.9001028008352,12.186947,0.28754598,1.2578775,0.17121528,0.0,0.15891303,0.015998539,0.013089626,11.931258,0.29808658361434937,0.01470337541509004,0.0041667894,0,3828.233184337616,225.0,3968.0,2.6328125,2.48,22.0,892800.0
25.952717,13.0,3.2679613,3.238357,0.17173243,57,1.3919673e-13,-0.029604016,242.69426424715266,11.873937,0.30864447,1.2503828,0.16607733,0.0,0.1584958,-0.04960586,0.011153061,12.306092,0.14821314811706543,0.014812882339303751,-0.05950854,0,3895.741990327835,225.0,4096.0,2.890625,2.93,22.0,921600.0
27.290985,,3.2276158,3.2204344,0.16466275,58,1.3568191e-13,-0.0071813855,244.84236272014056,12.202835,0.2639051,1.2442856,0.15074176,0.0,0.15246016,-0.012937705,0.012164376,12.028395,0.14272147417068481,0.014943991865242954,-0.023857795,0,3962.6585149765015,225.0,4096.0,2.890625,2.93,22.0,921600.0
27.532099,21.0,3.2507782,3.2355363,0.1720037,59,1.4823482e-13,-0.01524178,242.28091938369258,12.308443,0.26317096,1.2276151,0.15078571,0.0,0.15229991,-0.11046103,0.013197618,12.462982,0.2159862518310547,0.01478765377097733,-0.122431025,0,4030.2824947834015,225.0,4224.0,2.6484375,2.72,22.0,950400.0
26.643353,12.0,3.282137,3.248927,0.17218113,60,1.460243e-13,-0.033209544,242.60312885646638,12.543943,0.29445934,1.186211,0.1632014,0.0,0.15301754,-0.040583283,0.012145577,12.561084,0.2102106213569641,0.01480731987649331,-0.051542647,0,4097.8166608810425,225.0,4352.0,2.171875,2.21,22.0,979200.0
25.841206,,3.176269,3.1671844,0.16870452,61,1.6333216e-13,-0.009085097,244.79653950810945,12.40692,0.23816946,1.2091135,0.15009211,0.0,0.14439742,0.06913577,0.011951594,11.924105,0.2674025297164917,0.014941195038336758,0.05839329,0,4164.745711565018,225.0,4352.0,2.171875,2.21,22.0,979200.0
28.402721,22.0,3.1195433,3.1210716,0.1542582,62,1.4969666e-13,0.0015283767,241.03058537971273,12.96727,0.2933726,1.2090282,0.14696483,0.0,0.14954558,-0.019983254,0.011126014,13.343539,0.06016719341278076,0.014711339439679732,-0.02990024,0,4232.720487356186,225.0,4480.0,2.734375,2.77,22.0,1008000.0
31.042952,,3.120585,3.140804,0.15182878,63,1.4743893e-13,0.020219103,243.28172760399937,13.619299,0.23940222,1.2291032,0.14122003,0.0,0.1438355,-0.13079517,0.013401875,14.133617,0.10252183675765991,0.01484873825708004,-0.14296794,0,4300.066276788712,225.0,4480.0,2.734375,2.77,22.0,1008000.0
30.15951,14.0,3.1682153,3.1606998,0.1541765,64,1.445716e-13,-0.0075157285,239.7335346217281,13.236271,0.24689479,1.2166642,0.14748034,0.0,0.15109986,-0.041519243,0.011880442,13.405792,0.0395125150680542,0.014632173744001959,-0.05218302,0,4368.40882229805,225.0,4608.0,2.578125,2.67,22.0,1036800.0
31.363276,,3.19663,3.1891556,0.14840832,65,1.6187094e-13,-0.0074743545,242.16564043790183,13.489065,0.2542679,1.2264344,0.1438576,0.0,0.14093465,-0.12130757,0.009757309,13.878411,0.0981818437576294,0.014780617702508657,-0.12983844,0,4436.0649933815,225.0,4608.0,2.578125,2.67,22.0,1036800.0
31.952282,12.0,3.1634107,3.1555858,0.16503066,66,1.65245e-13,-0.007824727,238.23945641884367,13.4088745,0.26211604,1.2079217,0.14490683,0.0,0.15019146,-0.111600414,0.009483213,14.046477,0.1717504858970642,0.014540982447439189,-0.1198757,0,4504.836137533188,225.0,4736.0,2.28125,2.39,22.0,1065600.0
