opt_feat_var,ev,advstd,rew_mean,rank,opt_approxkl,retmean,retstd,total_secs,opt_vf,opt_tot,ups,opt_ent,opt_aux,opt_dyn_loss,opt_clipfrac,n_updates,opt_pg,vpredmean,tps,advmean,recent_best_ext_ret,vpredstd,epcount,best_ext_ret,eprew_recent,tcount,eplen,eprew
10.709602,0.48005056381225586,0.20918955,5.2522473,0,7.107005e-14,3.04069,0.29010782,1393.7743957042694,0.027417984,-0.1477478,0.019011595856709862,1.5148983,0.6147379,5.5624743,0.0,26,-0.17365089,3.016121,311.4859865163344,0.024568925,,0.23599723,1792.0,15.0,1.9765625,403200.0,225.0,2.07
10.914559,0.4118958115577698,0.227148,5.326455,0,6.631089e-14,3.0191054,0.29619774,1446.3764221668243,0.026791386,-0.092474125,0.01901067444068635,1.5120268,0.59565705,5.5986357,0.0,27,-0.11775348,3.0082917,311.47089003620516,0.01081386,22.0,0.25213695,1920.0,22.0,2.09375,432000.0,225.0,2.06
12.5009575,0.42372870445251465,0.20514952,5.591375,0,6.7319793e-14,2.9674063,0.2702446,1498.2120985984802,0.01906997,-0.037576664,0.01929173242908244,1.4819119,0.5481573,5.632684,0.0,28,-0.05516472,2.941526,316.0757441180867,0.025880732,,0.23298101,1920.0,22.0,2.09375,432000.0,225.0,2.06
11.856182,0.4227801561355591,0.20430648,5.741271,0,7.175028e-14,2.9704647,0.26891282,1550.7362563610077,0.020664306,0.044516176,0.01903885835773333,1.4938107,0.5904448,5.8514633,0.0,29,0.02534568,2.9529405,311.9326553331029,0.017524283,10.0,0.2172415,2048.0,22.0,1.8046875,460800.0,225.0,1.85
12.580668,0.4278659224510193,0.19786052,5.9955206,0,7.300291e-14,2.879922,0.26158345,1603.1068933010101,0.019799039,-0.18922733,0.019094669426030345,1.4889138,0.5553381,6.5373855,0.0,30,-0.20753746,2.8519735,312.84706387608117,0.027948473,13.0,0.21667506,2176.0,22.0,2.125,489600.0,225.0,2.05
13.91462,0.4000999927520752,0.20076455,6.228755,0,7.79884e-14,2.938892,0.25920752,1655.5094888210297,0.021864545,-0.012409296,0.019083024229553033,1.4720562,0.5154086,6.4501047,0.0,31,-0.032801785,2.8949502,312.6562689769969,0.04394181,,0.2079535,2176.0,22.0,2.125,489600.0,225.0,2.05
12.408628,0.28690922260284424,0.2111318,6.606301,0,8.2346077e-14,3.0194592,0.25002372,1708.057033777237,0.023989625,0.192951,0.01903038478454878,1.4250315,0.4893261,6.2147408,0.0,32,0.1703864,2.9956632,311.7938243100472,0.023795975,13.0,0.22732371,2304.0,22.0,2.2890625,518400.0,225.0,2.15
16.178036,0.33019012212753296,0.19915675,7.121089,0,9.204822e-14,3.1224236,0.24334322,1760.224059343338,0.021024872,-0.11809127,0.01916919719206332,1.4063158,0.44341934,7.543361,0.0,33,-0.13770983,3.0835452,314.0681267947654,0.038878545,,0.18422641,2304.0,22.0,2.2890625,518400.0,225.0,2.15
14.646082,0.3705293536186218,0.22127874,7.111355,0,8.697986e-14,3.143261,0.2789022,1812.6417293548584,0.018888447,0.08915681,0.0190775362540956,1.4280803,0.48733988,6.9455376,0.0,34,0.071696445,3.1245098,312.56635398710233,0.018751075,13.0,0.25312835,2432.0,22.0,2.1953125,547200.0,225.0,2.18
16.322626,0.44448530673980713,0.21025129,7.561948,0,9.906595e-14,3.2518315,0.28209206,1864.290159702301,0.01995124,0.15757099,0.01936167262534272,1.3643669,0.4511366,7.2979393,0.0,35,0.13898411,3.2348135,317.2216442936151,0.01701821,,0.24878468,2432.0,22.0,2.1953125,547200.0,225.0,2.18
15.330933,0.4158393144607544,0.21305132,7.4616513,0,9.469601e-14,3.1952033,0.27875206,1916.65771484375,0.022552524,-0.019362457,0.019095793135633688,1.3601147,0.45637885,7.7839384,0.0,36,-0.040554866,3.2018158,312.86547473422235,-0.006612544,10.0,0.24133028,2560.0,22.0,1.9296875,576000.0,225.0,1.99
16.040379,0.3569621443748474,0.20328727,8.161634,0,9.282699e-14,3.165626,0.25350815,1968.754613161087,0.02117541,0.082329184,0.019195000706351373,1.3400792,0.42091674,7.7281704,0.0,37,0.062493857,3.1538162,314.4908915728609,0.011810016,11.0,0.22503082,2688.0,22.0,1.9765625,604800.0,225.0,1.98
16.973139,0.4493919610977173,0.1984548,8.136839,0,1.0891521e-13,3.2415679,0.26744857,2020.9609277248383,0.015909776,0.10860786,0.019154770995735773,1.3657769,0.4153309,7.8292437,0.0,38,0.094063856,3.2222874,313.8317679941349,0.019280257,,0.22624649,2688.0,22.0,1.9765625,604800.0,225.0,1.98
19.009806,0.40992581844329834,0.21775629,8.605939,0,1.1046017e-13,3.329008,0.2834767,2073.0782046318054,0.02372913,-0.039371915,0.019187495190607657,1.3060571,0.41870293,8.856124,0.0,39,-0.06179499,3.3514688,314.36792120291585,-0.022460746,20.0,0.2667893,2816.0,22.0,2.21875,633600.0,225.0,2.4
