opt_dyn_loss,opt_vf,opt_clipfrac,total_secs,advstd,tps,rew_mean,opt_approxkl,opt_ent,opt_pg,advmean,ups,opt_aux,opt_tot,vpredmean,ev,retstd,recent_best_ext_ret,retmean,opt_feat_var,rank,vpredstd,n_updates,epcount,eplen,tcount,eprew_recent,best_ext_ret,eprew
0.01980266,0.0013555689,0.0,2982.343299627304,0.050002597,171.76363359415618,0.019004505,5.6161673e-15,1.609586,-0.043976553,0.006170315,0.010483620214487071,0.0,-0.04423057,0.47697967,0.10696989297866821,0.052912652,,0.48315,0.04270532,0,0.056857392,31,2176.0,225.0,489600.0,2.09375,22.0,2.11
0.019918634,0.001485363,0.0,3077.0272738933563,0.05418062,173.03878641556219,0.019929487,5.7560293e-15,1.5866036,-0.036364015,0.0037486595,0.010561449366184215,0.0,-0.036465257,0.49799523,0.08064389228820801,0.056506976,14.0,0.5017439,0.04144396,0,0.06405837,32,2304.0,225.0,518400.0,1.90625,22.0,1.92
0.019677192,0.001499847,0.0,3171.8296377658844,0.053075507,172.82269482256837,0.020521872,6.1227065e-15,1.5650687,0.0033699581,0.007522993,0.010548260182041526,0.0,0.0033047362,0.5175917,0.28643953800201416,0.06283169,,0.5251148,0.044230096,0,0.066438116,33,2304.0,225.0,518400.0,1.90625,22.0,1.92
0.019735318,0.0012458891,0.0,3267.5070819854736,0.052265726,171.2420323686437,0.01974418,5.9824107e-15,1.5662247,0.021214334,0.005079912,0.010451784202187725,0.0,0.020893998,0.49502128,0.05282938480377197,0.05370354,13.0,0.5001012,0.04596126,0,0.062305063,34,2432.0,225.0,547200.0,2.2578125,22.0,2.23
0.018352035,0.0012751657,0.0,3362.284459590912,0.049930234,172.86825626477244,0.01938867,5.426432e-15,1.5844038,0.12136942,0.009110948,0.010551041031785427,0.0,0.121060185,0.47757238,-0.12920737266540527,0.046986893,,0.48668334,0.04145142,0,0.054155607,35,2432.0,225.0,547200.0,2.2578125,22.0,2.23
0.01851664,0.0010602513,0.0,3456.9052069187164,0.049658827,173.15441341040346,0.019173656,5.2369133e-15,1.5904055,0.06432252,0.010411393,0.01056850667788107,0.0,0.06379236,0.47133934,-0.33865559101104736,0.04292023,14.0,0.48175073,0.039905638,0,0.050364576,36,2560.0,225.0,576000.0,1.84375,22.0,1.72
0.01923088,0.0014381764,0.0,3552.0707199573517,0.052193474,172.16320783505293,0.019998195,5.3060854e-15,1.5782359,-0.0037279455,0.010233694,0.01050800829071368,0.0,-0.0038680052,0.48575753,-0.3616187572479248,0.044728924,14.0,0.49599123,0.038185377,0,0.054643713,37,2688.0,225.0,604800.0,2.46875,22.0,2.52
0.019304361,0.0014735954,0.0,3647.9502663612366,0.051186964,170.88107541710426,0.018591985,5.62663e-15,1.5557724,-0.04288391,0.008747643,0.010429753138250992,0.0,-0.042966086,0.49703532,-0.08718955516815186,0.049091548,,0.50578296,0.043798976,0,0.05378067,38,2688.0,225.0,604800.0,2.46875,22.0,2.52
0.019799864,0.0014243106,0.0,3742.8383390903473,0.052384682,172.6665905289649,0.019687288,5.9317243e-15,1.5410979,0.010485493,0.009548824,0.010538732332090142,0.0,0.010368706,0.50737333,-0.10727930068969727,0.049782388,14.0,0.5169221,0.046706755,0,0.054996617,39,2816.0,225.0,633600.0,1.8359375,22.0,1.78
0.02132665,0.0017528229,0.0,3837.404656648636,0.05329856,173.25407632481054,0.019835524,6.1972996e-15,1.5382073,-0.06810119,0.013260461,0.010574589619434237,0.0,-0.067886576,0.49925682,-0.05222880840301514,0.051958952,,0.5125173,0.04841558,0,0.05703393,40,2816.0,225.0,633600.0,1.8359375,22.0,1.78
0.019327573,0.001603829,0.0,3933.459300994873,0.05355177,170.56957642716858,0.019166376,6.516055e-15,1.5475715,-0.046439707,0.009861922,0.010410740748728551,0.0,-0.046383448,0.5103198,0.012508690357208252,0.053889878,12.0,0.5201817,0.042879358,0,0.059862953,41,2944.0,225.0,662400.0,1.5859375,22.0,1.64
0.018688522,0.0016099836,0.0,4027.729135274887,0.053690847,173.79896893988217,0.019519245,6.2049432e-15,1.5424544,-0.0029937555,0.0074174497,0.010607847225334605,0.0,-0.0029262265,0.533371,0.15007507801055908,0.05823847,,0.5407884,0.043885827,0,0.061953053,42,2944.0,225.0,662400.0,1.5859375,22.0,1.64
0.017706933,0.0016332828,0.0,4122.212373971939,0.057833858,173.40641817468946,0.019151827,6.06275e-15,1.5358506,0.03135263,0.0077980845,0.010583887828045011,0.0,0.031450063,0.5426363,0.12649309635162354,0.061879814,15.0,0.55043435,0.038649216,0,0.067338064,43,3072.0,225.0,691200.0,1.8828125,22.0,1.9
0.02220371,0.001888375,0.0,4217.036954641342,0.059226736,172.7822035630325,0.021158254,6.690449e-15,1.4827498,-0.008506491,0.011342645,0.010545788791688996,0.0,-0.008100866,0.5500845,0.059158146381378174,0.06106038,13.0,0.5614271,0.04909746,0,0.06822625,44,3200.0,225.0,720000.0,1.9921875,22.0,2.11
0.018913977,0.001559412,0.0,4311.8986530303955,0.05715845,172.71459691565724,0.020112813,6.623337e-15,1.4986377,0.09879245,0.015636986,0.010541662409402908,0.0,0.09885322,0.54576945,0.2579790949821472,0.066354804,,0.56140643,0.04778529,0,0.06596078,45,3200.0,225.0,720000.0,1.9921875,22.0,2.11
0.020609977,0.0015223317,0.0,4406.0178735256195,0.05565573,174.0770898206854,0.020191975,6.6038754e-15,1.4640505,0.0059804786,0.008636548,0.010624822376750817,0.0,0.00603876,0.56142914,0.15320265293121338,0.06048117,13.0,0.57006574,0.047773376,0,0.064734146,46,3328.0,225.0,748800.0,2.1484375,22.0,2.23
0.019511662,0.0014716558,0.0,4501.1720333099365,0.055032343,172.18374937193607,0.01999271,6.6947316e-15,1.5086279,0.05728127,0.012377718,0.010509262046626958,0.0,0.0572443,0.563779,0.25725847482681274,0.06385562,,0.57615674,0.041946143,0,0.06534784,47,3328.0,225.0,748800.0,2.1484375,22.0,2.23
0.02100658,0.0019312154,0.0,4596.647574663162,0.057977743,171.60415922005615,0.01990942,6.779462e-15,1.4458885,-0.08948657,0.008997143,0.010473886671146005,0.0,-0.089001246,0.5704184,0.0864749550819397,0.060659815,12.0,0.57941556,0.050028954,0,0.06535469,48,3456.0,225.0,777600.0,1.9765625,22.0,1.83
0.022238014,0.0019247194,0.0,4690.417127370834,0.056755755,174.72622537805364,0.019988256,6.9788468e-15,1.3943465,-0.20602618,0.009832039,0.01066444246692222,0.0,-0.2054958,0.595949,0.22942250967025757,0.06465495,,0.6057811,0.054576635,0,0.06645788,49,3456.0,225.0,777600.0,1.9765625,22.0,1.83
0.021339057,0.0022463808,0.0,4784.970516204834,0.059940044,173.27776615985888,0.019983675,7.151723e-15,1.419038,-0.05122388,0.0067663034,0.01057603553221795,0.0,-0.05039654,0.6055282,0.1720031499862671,0.06587228,14.0,0.6122945,0.047617406,0,0.069493756,50,3584.0,225.0,806400.0,2.1953125,22.0,2.24
0.019602694,0.0017800053,0.0,4879.798550128937,0.06204358,172.775911531744,0.021794785,7.143537e-15,1.4364387,0.13701765,0.010052163,0.010545404756576171,0.0,0.13736121,0.6288073,0.20952367782592773,0.06978345,14.0,0.6388594,0.04401,0,0.07461821,51,3712.0,225.0,835200.0,1.8828125,22.0,2.0
0.020114584,0.0020730891,0.0,4975.439567327499,0.059134554,171.30725372760082,0.020227645,8.277138e-15,1.4002268,-0.02803731,0.011347748,0.010455764998022511,0.0,-0.027364448,0.6256789,0.2947797179222107,0.070417225,,0.6370266,0.04328257,0,0.07332432,52,3712.0,225.0,835200.0,1.8828125,22.0,2.0
0.022041101,0.0020481946,0.0,5070.037293672562,0.061330605,173.1965516828217,0.021405086,8.8373455e-15,1.3445296,-0.075198635,0.0063999943,0.010571078593922223,0.0,-0.07449497,0.65236914,0.1050233244895935,0.06482931,12.0,0.6587691,0.053452916,0,0.07180522,53,3840.0,225.0,864000.0,1.6484375,22.0,1.56
0.019618645,0.0017543891,0.0,5166.109780073166,0.05917048,170.53789918251718,0.020664694,9.305572e-15,1.36554,0.12017613,0.012010413,0.010408807323151683,0.0,0.120564975,0.6462586,0.16384351253509521,0.06470849,,0.658269,0.049594916,0,0.067118146,54,3840.0,225.0,864000.0,1.6484375,22.0,1.56
0.021506539,0.0024399227,0.0,5261.177352428436,0.05989882,172.3405741210315,0.02123414,7.740946e-15,1.3654187,-0.0412352,0.015237875,0.010518833869691864,0.0,-0.040160697,0.6214613,0.07406598329544067,0.06224841,13.0,0.63669914,0.0479909,0,0.06784769,55,3968.0,225.0,892800.0,1.71875,22.0,1.68
0.021358192,0.0019345749,0.0,5355.261638641357,0.06031887,174.14172609995197,0.021608418,8.099885e-15,1.3256216,0.056773487,0.017589254,0.010628767462155271,0.0,0.057382442,0.6314711,0.05445301532745361,0.062031407,,0.64906037,0.052119832,0,0.06629813,56,3968.0,225.0,892800.0,1.71875,22.0,1.68
