opt_clipfrac,recent_best_ext_ret,vpredstd,opt_aux,opt_ent,ups,opt_vf,ev,rew_mean,opt_tot,retmean,rank,opt_dyn_loss,advmean,opt_approxkl,opt_pg,vpredmean,advstd,opt_feat_var,tps,total_secs,n_updates,retstd,epcount,eplen,eprew,tcount,best_ext_ret,eprew_recent
0.0,11.0,0.571616,0.61740625,1.3976036,0.0065738219390987975,0.022670737,0.8804314211010933,4.9837985,0.05257392,2.707813,0,4.6682115,0.011929221,1.10412174e-13,0.031300787,2.6958838,0.20224755,17.020468,757.3042873841814,4936.169865608215,31,0.5848907,3840.0,900.0,1.35,3456000.0,14.0,1.2578125
0.0,12.0,0.5944215,0.6529853,1.3630184,0.006537542162064429,0.020276561,0.8898178786039352,5.4484153,0.005450175,2.7539747,0,5.431041,0.028579786,1.0909632e-13,-0.013463368,2.7253947,0.2031703,17.144485,753.1248570698223,5089.132550239563,32,0.61207503,3968.0,900.0,0.86,3571200.0,14.0,1.0234375
0.0,13.0,0.5844488,0.6073447,1.3623326,0.006557772803053263,0.024098981,0.8897228538990021,5.5741796,-0.047583465,2.7703247,0,5.739078,0.016602466,1.2204239e-13,-0.070320114,2.7537224,0.20105836,18.008398,755.4554269117359,5241.623347043991,33,0.6054515,4096.0,900.0,1.35,3686400.0,14.0,1.3828125
0.0,11.0,0.56176466,0.5705941,1.3055768,0.00659654676618573,0.018819842,0.887454017996788,5.91142,-0.037224118,2.8527534,0,6.10133,0.0011838772,1.2316321e-13,-0.054738384,2.8515692,0.19089362,19.06957,759.9221874645962,5393.21781539917,34,0.56901854,4224.0,900.0,1.09,3801600.0,14.0,1.03125
0.0,11.0,0.5766192,0.51119983,1.3035091,0.0065288571310701165,0.018807344,0.8973251134157181,6.2583704,0.07547285,2.7985322,0,6.3806176,0.01922721,1.3185629e-13,0.05796901,2.7793047,0.19178139,19.966337,752.1243414992774,5546.3839790821075,35,0.598514,4352.0,900.0,1.13,3916800.0,14.0,1.0625
0.0,12.0,0.5732151,0.47401038,1.2768022,0.006548735997964312,0.018024936,0.890742689371109,6.3639197,0.082658604,2.807931,0,6.274435,0.0050751087,1.3519928e-13,0.065910466,2.8028562,0.19386685,24.267408,754.4143869654887,5699.085202693939,36,0.5865139,4480.0,900.0,1.07,4032000.0,14.0,1.0859375
0.0,12.0,0.5474219,0.5617766,1.2877077,0.006537820979281849,0.015966015,0.9016698598861694,6.695869,0.059590094,2.7994432,0,6.314673,0.018508777,1.3161247e-13,0.044911787,2.7809346,0.17796224,20.988188,753.1569768132689,5852.041363954544,37,0.56752443,4608.0,900.0,0.9,4147200.0,14.0,1.0390625
0.0,11.0,0.516915,0.5337702,1.2737428,0.006540680694195621,0.012642469,0.8971818014979362,6.6148334,0.046575867,2.7810848,0,6.308307,0.00016865796,1.3084623e-13,0.03520714,2.7809157,0.17013349,23.402273,753.4864159713355,6004.930649757385,38,0.5305848,4736.0,900.0,1.04,4262400.0,14.0,0.953125
0.0,12.0,0.4877888,0.5290996,1.2454994,0.006586952053974605,0.014427647,0.8825174048542976,6.987309,0.0037185997,2.8310077,0,6.894124,0.0014892028,1.3589385e-13,-0.009463548,2.8295183,0.1701781,24.30878,758.8168766178745,6156.745934247971,39,0.49649733,4864.0,900.0,1.03,4377600.0,14.0,0.984375
0.0,12.0,0.5060556,0.5150734,1.2448702,0.006593094158663418,0.0152603565,0.8855538889765739,7.2788024,0.0037697265,2.8393002,0,7.1277018,0.0007247845,1.3902025e-13,-0.01024576,2.8385758,0.17559727,26.159252,759.5244470780258,6308.419788122177,40,0.5190596,4992.0,900.0,0.82,4492800.0,14.0,0.75
