retstd,ev,opt_ent,opt_clipfrac,opt_aux,rank,opt_feat_var,n_updates,opt_vf,vpredmean,advmean,recent_best_ext_ret,opt_dyn_loss,total_secs,opt_approxkl,vpredstd,retmean,rew_mean,opt_tot,advstd,opt_pg,tps,ups,eplen,best_ext_ret,epcount,eprew,eprew_recent,tcount
0.3723509,0.47524988651275635,1.6673092,0.0,0.7760996,0,4.4240923,18,0.044318214,2.8102784,-0.00585936,13.0,2.528046,1022.8065431118011,4.4474624e-14,0.32700676,2.804419,2.6226432,0.04866662,0.26972964,0.0060157143,282.854816691375,0.01726408793282318,225.0,23.0,1280.0,1.97,2.0,288000.0
0.38984615,0.5475655794143677,1.634694,0.0,0.74801314,0,6.0146213,19,0.027906528,2.8071382,0.012135256,,2.819853,1079.739934206009,4.842936e-14,0.30289465,2.8192735,2.6405308,-0.03146819,0.26222318,-0.057740025,287.7748836862602,0.017564384990616466,225.0,23.0,1280.0,1.97,2.0,288000.0
0.33816507,0.4453478455543518,1.6622095,0.0,0.7011312,0,5.19234,20,0.027665302,2.7214236,0.02500591,12.0,2.63918,1137.5795526504517,4.7441434e-14,0.28022063,2.7464297,2.810041,0.03203082,0.25184834,0.006027728,283.26604567313115,0.017289187357979196,225.0,23.0,1408.0,1.86,1.921875,316800.0
0.39253196,0.5848738849163055,1.6016579,0.0,0.68864954,0,6.5394125,21,0.037579063,2.820661,0.052844197,,3.2638745,1194.1663870811462,4.9665404e-14,0.3252684,2.8735054,3.1921139,0.036447708,0.25290945,0.000470303,289.5373131371486,0.017671955147531043,225.0,23.0,1408.0,1.86,1.921875,316800.0
0.3675471,0.487466037273407,1.60436,0.0,0.65962607,0,7.5070333,22,0.032073736,2.8125627,0.055400737,13.0,3.4675741,1251.067554473877,5.62174e-14,0.3132136,2.8679633,3.455422,0.014227685,0.2631324,-0.016241692,287.93785348757365,0.017574331877903665,225.0,23.0,1536.0,2.27,2.1875,345600.0
0.35572046,0.44408780336380005,1.6239228,0.0,0.6677026,0,7.3160844,23,0.02412968,2.9516413,0.035361968,15.0,3.6241314,1306.5089046955109,5.726691e-14,0.30107853,2.987003,3.6850982,-0.014571646,0.26522347,-0.037077405,295.5194982536114,0.018037078750830774,225.0,23.0,1664.0,2.19,2.2265625,374400.0
0.36814028,0.5360719859600067,1.5810857,0.0,0.60787135,0,7.2731724,24,0.03773798,2.9091902,0.035948623,,3.6042726,1360.2138550281525,6.256069e-14,0.2919928,2.9451387,3.6453817,0.051885277,0.25074866,0.015728384,305.0742975930449,0.018620257421450494,225.0,23.0,1664.0,2.19,2.2265625,374400.0
0.3241701,0.44407421350479126,1.5663952,0.0,0.5969703,0,7.7001877,25,0.032024637,2.9161787,-0.0065259263,12.0,3.7100096,1413.900681734085,6.135717e-14,0.2941178,2.9096527,3.5890212,-0.07723104,0.24170263,-0.107689284,305.17728473211287,0.018626543257575248,225.0,23.0,1792.0,2.3,2.1171875,403200.0
0.2977589,0.5116531848907471,1.5430039,0.0,0.58590263,0,8.279973,26,0.027591206,2.826852,0.031927902,,3.937374,1467.5005366802216,6.7363e-14,0.24993378,2.85878,3.749998,-0.14871362,0.20807932,-0.17476183,305.6724690106829,0.018656766907390314,225.0,23.0,1792.0,2.3,2.1171875,403200.0
0.286149,0.3669646978378296,1.5585613,0.0,0.6504397,0,7.646731,27,0.03057217,2.9222486,0.024848763,13.0,4.01096,1521.2582943439484,6.532172e-14,0.2650039,2.9470973,4.097252,0.00042235292,0.2276702,-0.028591257,304.77461694900916,0.018601966366516672,225.0,23.0,1920.0,2.06,2.1953125,432000.0
0.27898312,0.4787701964378357,1.5560676,0.0,0.5865921,0,8.62072,28,0.015327521,2.919295,0.02661847,,3.8683345,1574.4512281417847,6.95848e-14,0.22840162,2.9459133,4.1265907,0.12890992,0.20141533,0.115138456,308.01083584275705,0.018799489492355777,225.0,23.0,1920.0,2.06,2.1953125,432000.0
0.25701612,0.359732449054718,1.5258405,0.0,0.58144367,0,8.593879,29,0.01963731,2.9404323,0.0067318236,14.0,4.0392594,1628.3741717338562,6.9054734e-14,0.22419092,2.947164,4.1246214,0.12613262,0.20565586,0.10802115,303.8409795271079,0.01854498166059008,225.0,23.0,2048.0,1.81,1.796875,460800.0
0.2880062,0.339474081993103,1.490452,0.0,0.62929845,0,9.389442,30,0.028262436,3.0555897,0.016997084,12.0,4.6592116,1681.7319571971893,7.7862684e-14,0.25811586,3.0725865,4.6177464,-0.038810976,0.23407054,-0.06558296,307.0592202755285,0.01874140748752005,225.0,23.0,2176.0,1.98,2.0,489600.0
0.26499704,0.3910961151123047,1.453082,0.0,0.5657277,0,8.688252,31,0.02523934,3.0633693,0.014251938,,4.553022,1735.0208342075348,7.787618e-14,0.2248826,3.0776212,4.4993954,0.013805885,0.20678326,-0.009980372,307.45628204586154,0.01876564221471323,225.0,23.0,2176.0,1.98,2.0,489600.0
0.2657164,0.3338918089866638,1.4385903,0.0,0.5423677,0,10.556671,32,0.023498902,3.0842972,0.009291083,10.0,4.7822537,1788.4503891468048,8.7018785e-14,0.22585456,3.0935884,4.888674,0.100163005,0.21686563,0.07810269,306.6467616775519,0.018716233012545894,225.0,23.0,2304.0,1.63,1.6953125,518400.0
0.28980342,0.39417827129364014,1.4392972,0.0,0.539839,0,10.440511,33,0.02514503,3.078106,0.049130026,,5.343223,1842.0043098926544,9.0304934e-14,0.22038276,3.127236,5.236125,-0.026230948,0.22556718,-0.049936682,305.9346500091639,0.01867276916559838,225.0,23.0,2304.0,1.63,1.6953125,518400.0
0.25664797,0.2863754630088806,1.4025558,0.0,0.53575504,0,10.830925,34,0.024309449,3.0638127,0.033421095,13.0,5.4588847,1895.5354027748108,8.569546e-14,0.21061641,3.0972338,5.4139557,0.019159522,0.21680672,-0.00374737,306.06511314961983,0.018680732003760976,225.0,23.0,2432.0,2.19,2.1875,547200.0
0.2472452,0.27524393796920776,1.3994108,0.0,0.54793113,0,11.172708,35,0.02429115,3.0919297,0.042591378,,5.4838047,1948.5964052677155,8.89092e-14,0.19368857,3.134521,5.5330844,0.03618825,0.21048628,0.013296509,308.7766764714043,0.01884623269478786,225.0,23.0,2432.0,2.19,2.1875,547200.0
0.2735276,0.32881981134414673,1.4174722,0.0,0.53221273,0,12.431322,36,0.020047346,3.165954,0.024412435,12.0,5.717246,2002.082641363144,9.2278995e-14,0.22449693,3.1903667,5.762331,0.085557535,0.22408907,0.066927664,306.32179783165486,0.018696398793435966,225.0,23.0,2560.0,2.07,2.125,576000.0
