recent_best_ext_ret,vpredstd,retstd,opt_aux,ups,opt_vf,ev,vpredmean,opt_clipfrac,opt_pg,opt_ent,opt_feat_var,retmean,opt_tot,advstd,n_updates,opt_approxkl,rew_mean,opt_dyn_loss,advmean,tps,rank,total_secs,best_ext_ret,tcount,eprew_recent,epcount,eprew,eplen
3.0,1.0412264,1.0701114,0.9838601,0.006300343185342955,0.078169316,0.872803658246994,2.2719507,0.0,-0.054857686,1.6970198,4.0552607,2.236887,0.021614611,0.38165092,11,3.6179484e-14,1.6478733,1.7549033,-0.0350636,725.7995349515085,0,1771.8104634284973,13.0,1152000.0,0.8828125,1280.0,0.89,900.0
13.0,0.99212277,1.0288173,0.9755002,0.006337823156123189,0.048607882,0.9062044695019722,2.3289363,0.0,0.027177596,1.6930314,4.1954284,2.2909346,0.07409245,0.31508616,12,4.1166824e-14,1.7683513,1.7354809,-0.038001932,730.1172275853913,0,1929.593344926834,13.0,1267200.0,1.3671875,1408.0,1.27,900.0
3.0,0.9544805,0.97962075,0.96666884,0.006323282983401999,0.04446484,0.9031868800520897,2.3046725,0.0,0.049177367,1.6797572,4.5678244,2.2727606,0.09196246,0.3048071,13,4.6268328e-14,1.9249319,1.7922397,-0.03191221,728.4421996879103,0,2087.7390427589417,13.0,1382400.0,0.9140625,1536.0,0.92,900.0
3.0,0.9763515,1.0107441,0.9550681,0.00633291302185672,0.04176165,0.9135835990309715,2.302199,0.0,-0.053338014,1.6511667,5.6108766,2.288503,-0.01322753,0.29712507,14,4.9892002e-14,2.1738422,2.2705493,-0.0136959525,729.5515801178942,0,2245.6442589759827,13.0,1497600.0,1.0390625,1664.0,1.02,900.0
3.0,0.8852085,0.9141387,0.9329921,0.0063361833240101455,0.040305916,0.8992411196231842,2.1436846,0.0,0.056829188,1.6562797,5.0496736,2.1249259,0.095478825,0.29017085,15,4.7861807e-14,2.1318834,1.9567693,-0.018758621,729.9283189259688,0,2403.4679753780365,13.0,1612800.0,1.0,1792.0,1.05,900.0
3.0,0.86040926,0.89689803,0.9486939,0.006361454792630733,0.041407764,0.9014298915863037,2.2053175,0.0,0.036785655,1.6102412,6.321861,2.204466,0.07658318,0.281589,16,5.3707178e-14,2.4542918,2.548063,-0.0008512529,732.8395921110604,0,2560.664722442627,13.0,1728000.0,0.921875,1920.0,0.87,900.0
3.0,0.8044585,0.8484786,0.8975959,0.006379536266820677,0.034757424,0.9003795385360718,2.2091255,0.0,0.03252686,1.6203879,6.403448,2.2126253,0.0656639,0.26780283,17,5.8811923e-14,2.6070354,2.4533954,0.0034998548,734.9225779377421,0,2717.415927886963,13.0,1843200.0,0.9453125,2048.0,0.83,900.0
3.0,0.8339414,0.87759864,0.96547717,0.006357876121485047,0.04820919,0.912970207631588,2.1264107,0.0,-0.040085804,1.6057181,6.4182677,2.1355507,0.0065176673,0.2588987,18,6.190065e-14,2.6435788,2.7767668,0.009139533,732.4273291950774,0,2874.701156616211,13.0,1958400.0,0.8828125,2176.0,0.91,900.0
12.0,0.87380546,0.9041047,0.88868904,0.006420255742285158,0.029390933,0.9198997542262077,2.3356626,0.0,0.039691433,1.5869949,6.979513,2.320781,0.06749537,0.25587958,19,6.3739914e-14,2.8511307,2.557798,-0.014881878,739.6134615112503,0,3030.458191871643,13.0,2073600.0,0.671875,2304.0,0.69,900.0
3.0,0.8568384,0.9042809,0.88797,0.006374659095964622,0.045111928,0.9042424783110619,2.3102875,0.0,-0.06279552,1.5475087,8.766924,2.318771,-0.0192311,0.27982712,20,7.130644e-14,3.1796713,3.4130387,0.008483132,734.3607278551244,0,3187.3293256759644,13.0,2188800.0,0.765625,2432.0,0.81,900.0
