opt_aux,opt_ent,vpredmean,n_updates,opt_clipfrac,opt_tot,retstd,rew_mean,tps,total_secs,vpredstd,opt_pg,opt_vf,opt_feat_var,ups,rank,recent_best_ext_ret,ev,advmean,retmean,opt_dyn_loss,opt_approxkl,advstd,epcount,tcount,eprew,eplen,eprew_recent,best_ext_ret
0.0,0.5862081,3.6744175,594,0.0,0.02646218,0.123709045,0.009731206,256.82017375795965,39388.45572924614,0.13642217,0.02338941,0.0036589776,0.026717434,0.015675059433469217,0,,0.5084231793880463,0.01500277,3.6894205,0.009885558,4.4357562e-13,0.086735554,43136.0,9705600.0,1.85,225.0,1.84375,23.0
0.0,0.5322391,3.601461,595,0.0,0.079710096,0.16282469,0.009297403,256.24284202710976,39452.39507627487,0.16126268,0.07385325,0.0063890875,0.023099534,0.01563982190106871,0,4.0,0.525127649307251,-1.6271602e-05,3.6014447,0.009247705,4.1989177e-13,0.1122041,43264.0,9734400.0,1.91,225.0,1.9140625,23.0
0.0,0.56052065,3.6494405,596,0.0,0.11731755,0.14479432,0.009590827,255.8971351222494,39516.42080283165,0.14489111,0.11120385,0.006674223,0.025207736,0.015618721626113856,0,12.0,0.49066102504730225,0.004571999,3.6540127,0.009635113,4.9398213e-13,0.10333679,43392.0,9763200.0,1.88,225.0,1.8671875,23.0
0.0,0.55084765,3.6638243,597,0.0,-0.018751543,0.14153107,0.009403315,255.294775712247,39580.5975959301,0.13947462,-0.023176918,0.004976223,0.023842793,0.0155819565254057,0,,0.5890900492668152,0.010830985,3.6746554,0.009337314,3.922735e-13,0.09072461,43392.0,9763200.0,1.88,225.0,1.8671875,23.0
0.0,0.57467216,3.6492932,598,0.0,0.107742615,0.14424351,0.009503101,252.3658829312027,39645.519208192825,0.1428222,0.103363395,0.004953892,0.023287378,0.015403191096875164,0,4.0,0.4426499605178833,0.007857205,3.6571503,0.009463521,5.073945e-13,0.10768626,43520.0,9792000.0,1.9,225.0,1.9140625,23.0
0.0,0.62593615,3.6486654,599,0.0,-0.10075717,0.1205212,0.009719887,256.71188355179373,39709.34173083305,0.124100454,-0.10360632,0.0034750958,0.025416538,0.015668449923815535,0,,0.5419647693634033,0.020397784,3.669063,0.009960661,4.9705856e-13,0.0815667,43520.0,9792000.0,1.9,225.0,1.9140625,23.0
0.0,0.53868777,3.6134398,600,0.0,0.123631984,0.14730516,0.009308732,251.18658873302164,39774.56814312935,0.14982711,0.11869996,0.0054707057,0.023795962,0.015331212691224465,0,4.0,0.485930860042572,0.0011922964,3.6146321,0.009143121,4.1409183e-13,0.10561576,43648.0,9820800.0,2.11,225.0,2.09375,23.0
0.0,0.6066919,3.6323483,601,0.0,0.14645448,0.1390315,0.009623614,257.14542966020593,39838.283061265945,0.13861996,0.1434431,0.0036180736,0.025297776,0.015694911478284054,0,,0.6278571784496307,0.020521745,3.65287,0.009249207,4.697678e-13,0.084814094,43648.0,9820800.0,2.11,225.0,2.09375,23.0
0.0,0.509077,3.6562653,602,0.0,-0.050012786,0.157625,0.009384688,253.86797321892666,39902.82054424286,0.15690522,-0.05597703,0.0064733205,0.024741072,0.015494871412288004,0,4.0,0.533838152885437,0.0037505897,3.6600158,0.00933525,3.7082108e-13,0.10762012,43776.0,9849600.0,1.98,225.0,1.9140625,23.0
0.0,0.5645257,3.6797915,603,0.0,-0.041795395,0.15146713,0.009757356,255.40902884035896,39966.96862888336,0.14933294,-0.046214543,0.0049836757,0.02538091,0.015588929982932065,0,3.0,0.5552768707275391,0.0061498364,3.6859412,0.009763485,4.871506e-13,0.10100974,43904.0,9878400.0,1.74,225.0,1.71875,23.0
0.0,0.5537937,3.6914437,604,0.0,0.024150196,0.15006727,0.00944682,252.08402937350084,40031.962829589844,0.1527466,0.021211207,0.0034927842,0.025123455,0.015385988120941213,0,,0.6293433308601379,0.015670016,3.7071137,0.009381359,5.1868254e-13,0.09136332,43904.0,9878400.0,1.74,225.0,1.71875,23.0
0.0,0.58168596,3.731063,605,0.0,-0.051413085,0.15396237,0.009464383,252.61602199102444,40096.82015681267,0.15423527,-0.055677265,0.0048458646,0.025653617,0.015418458373475613,0,4.0,0.5194655656814575,-0.0044627786,3.7266002,0.009481727,4.704198e-13,0.10672763,44032.0,9907200.0,1.9,225.0,1.90625,23.0
0.0,0.5227732,3.7219515,606,0.0,-0.196168,0.13877192,0.009792447,252.63700423406226,40161.672097444534,0.13566476,-0.20275642,0.0071111843,0.029355606,0.015419739027957902,0,,0.596706360578537,0.020628072,3.7425795,0.010119058,3.6415258e-13,0.088127665,44032.0,9907200.0,1.9,225.0,1.90625,23.0
0.0,0.5539198,3.7070515,607,0.0,-0.022941068,0.16283661,0.0093634995,252.7239068706783,40226.50173783302,0.1612431,-0.028829023,0.006441875,0.024799978,0.015425043143962298,0,4.0,0.518246203660965,-0.004979831,3.7020717,0.009344517,3.8053377e-13,0.113022424,44160.0,9936000.0,1.86,225.0,1.890625,23.0
0.0,0.63169545,3.720458,608,0.0,0.021109533,0.13103887,0.00971543,255.47203740787458,40290.634001255035,0.13425529,0.018522236,0.0032189926,0.024758363,0.01559277572069547,0,,0.5990781188011169,0.01388319,3.7343411,0.00969584,4.7306077e-13,0.08297171,44160.0,9936000.0,1.86,225.0,1.890625,23.0
0.0,0.58901477,3.7105055,609,0.0,-0.0724231,0.16368164,0.0094115585,254.9897773107448,40354.88755750656,0.15720032,-0.07724133,0.0054072402,0.023224443,0.015563340900314014,0,12.0,0.5459776520729065,-0.0017015301,3.7088041,0.009548982,4.7269475e-13,0.11029062,44288.0,9964800.0,1.95,225.0,2.015625,23.0
0.0,0.5961997,3.7288997,610,0.0,0.13086045,0.13526851,0.009832488,257.4459685505027,40418.5280957222,0.13830774,0.1259051,0.0055515496,0.02496435,0.015713254916412518,0,4.0,0.46329766511917114,0.0006292737,3.7295291,0.009956945,4.111674e-13,0.09909767,44416.0,9993600.0,2.05,225.0,2.015625,23.0
0.0,0.58672464,3.7321956,611,0.0,-0.060526036,0.15690577,0.009229399,253.59457730659835,40483.13515543938,0.14998685,-0.06466694,0.0047276337,0.024378667,0.015478184650060935,0,,0.6274355351924896,0.0017124251,3.7339082,0.009397724,5.018281e-13,0.095772244,44416.0,9993600.0,2.05,225.0,2.015625,23.0
0.0,0.5430971,3.7045908,612,0.0,-0.011438832,0.16635452,0.009376729,253.43934127692725,40547.78178811073,0.16586356,-0.01756216,0.0066664256,0.025017973,0.01546870979473433,0,4.0,0.5030559003353119,-0.010615142,3.6939754,0.009374824,3.8787205e-13,0.117270395,44544.0,10022400.0,1.92,225.0,1.8984375,23.0
0.0,0.6094697,3.7210941,613,0.0,0.010724501,0.15770224,0.009389479,255.10993219132308,40612.00508141518,0.15657403,0.007515855,0.0038181152,0.026071792,0.01557067457222431,0,,0.6775544285774231,0.0019909798,3.7230854,0.0093905125,4.7020927e-13,0.0895501,44544.0,10022400.0,1.92,225.0,1.8984375,23.0
0.0,0.5626643,3.7155988,614,0.0,-0.015785605,0.16137636,0.0092147235,252.11452481945884,40676.99142050743,0.16079345,-0.021154951,0.0059320102,0.023007542,0.015387849415250173,0,3.0,0.537988543510437,-0.010569293,3.7050295,0.009151226,5.087571e-13,0.10968981,44672.0,10051200.0,1.76,225.0,1.7421875,23.0
0.0,0.6254329,3.678997,615,0.0,-0.115694165,0.14679986,0.009613536,253.78286416543236,40741.55054688454,0.15040372,-0.11969157,0.004622838,0.02543786,0.01548967676790969,0,,0.6573269665241241,0.01625982,3.6952567,0.009535707,4.5249628e-13,0.08593412,44672.0,10051200.0,1.76,225.0,1.7421875,23.0
0.0,0.5865453,3.6564713,616,0.0,0.104012065,0.16973762,0.00924512,247.50826570628118,40807.746315956116,0.17136031,0.097768456,0.0068301526,0.022339653,0.015106705670549388,0,4.0,0.5505182147026062,0.00041361002,3.6568847,0.009018006,5.485966e-13,0.11379788,44800.0,10080000.0,1.93,225.0,1.984375,23.0
0.0,0.5942929,3.7009082,617,0.0,0.041441236,0.13818084,0.009772046,254.79160161481414,40872.0498483181,0.14086702,0.03729885,0.004736676,0.02604413,0.015551245215747933,0,13.0,0.4976082444190979,0.006175288,3.7070837,0.009739922,4.539991e-13,0.09794203,44928.0,10108800.0,1.91,225.0,1.859375,23.0
0.0,0.5530095,3.67028,618,0.0,0.006855907,0.16813456,0.009125031,254.7217872057187,40936.37100505829,0.16179581,0.002948507,0.0044604097,0.023024337,0.015546984082380292,0,,0.711098700761795,0.0116801,3.6819599,0.009074855,3.963641e-13,0.09037155,44928.0,10108800.0,1.91,225.0,1.859375,23.0
0.0,0.58000416,3.7046587,619,0.0,0.053135946,0.16423944,0.0094339065,256.06364592358346,41000.35509753227,0.16611457,0.047965214,0.005750736,0.024355656,0.015628884638890592,0,4.0,0.5561282336711884,0.0032571205,3.7079158,0.009475463,4.6822886e-13,0.10942239,45056.0,10137600.0,1.85,225.0,1.78125,23.0
0.0,0.57034767,3.7210824,620,0.0,0.022085156,0.15668753,0.009536853,253.8327194329464,41064.90154385567,0.15583375,0.019121928,0.0035335757,0.026820023,0.015492719691952294,0,,0.7033305168151855,0.011912297,3.7329946,0.009581579,4.0228362e-13,0.085343584,45056.0,10137600.0,1.85,225.0,1.78125,23.0
0.0,0.56484306,3.7241719,621,0.0,-0.043458823,0.16662963,0.009386364,252.08020755867156,41129.89672994614,0.16903725,-0.04866907,0.0057750903,0.023074904,0.01538575485587595,0,4.0,0.5555276870727539,-0.00048491688,3.723687,0.009419532,4.6410537e-13,0.11108989,45184.0,10166400.0,1.79,225.0,1.78125,23.0
0.0,0.6270112,3.709672,622,0.0,0.034755044,0.14211504,0.0096296705,250.61700314012148,41195.271384477615,0.14755437,0.031749085,0.0036329704,0.024593944,0.015296447945564055,0,,0.6278307437896729,0.018873371,3.7285452,0.009671883,3.9700976e-13,0.08669824,45184.0,10166400.0,1.79,225.0,1.78125,23.0
0.0,0.5535972,3.701374,623,0.0,-0.0150947785,0.16172288,0.009409161,252.87565166849708,41260.06212210655,0.16111298,-0.02083308,0.006291899,0.023956703,0.015434304911407293,0,4.0,0.5610499083995819,0.005461548,3.7068355,0.0094894795,4.1379644e-13,0.10714676,45312.0,10195200.0,1.89,225.0,1.8828125,23.0
0.0,0.61445475,3.7461624,624,0.0,0.06747604,0.13909991,0.009672926,252.9445079031295,41324.83522248268,0.14317217,0.06489931,0.0031911863,0.021966899,0.01543850756244687,0,,0.6432658433914185,0.01675184,3.7629142,0.009468979,5.199124e-13,0.083080515,45312.0,10195200.0,1.89,225.0,1.8828125,23.0
0.0,0.5548739,3.7164135,625,0.0,-0.08231024,0.18153696,0.009149404,248.77533683059625,41390.69384098053,0.16828595,-0.08609681,0.0043414487,0.02362039,0.015184041554601822,0,4.0,0.6677536368370056,-0.0052628764,3.7111506,0.009283827,4.8587284e-13,0.10463939,45440.0,10224000.0,1.84,225.0,1.8828125,23.0
0.0,0.58133954,3.6809726,626,0.0,0.0960956,0.15773648,0.009349642,247.43896466024736,41456.90814971924,0.16026054,0.09033617,0.0063407733,0.022312997,0.015102475870376426,0,4.0,0.4957953691482544,0.008646581,3.689619,0.009118475,4.6834867e-13,0.11200452,45568.0,10252800.0,1.84,225.0,1.828125,23.0
